tag,categoria,processos_origem,descricao,quantidade_eventos,porcentagem_total
AHAL_Module,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,235,0.52%
bluetooth-a2dp,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,233,0.52%
WifiService,Outros / Serviços Gerais do SO,system_server,Gerenciamento de conexões e estado de rede Wi-Fi,225,0.50%
minradio,Outros / Serviços Gerais do SO,android.hardware.broadcastradio,Eventos não categorizados em nenhuma categoria anterior.,217,0.48%
InetDiagMessage,Rede e Conexões,system_server,Monitoramento e fechamento de sockets de rede inativos,210,0.47%
AppOpService,Outros / Serviços Gerais do SO,system_server,Controle de operações e privilégios concedidos aos aplicativos em tempo de execução,209,0.47%
aconfigd_mainline,Outros / Serviços Gerais do SO,aconfigd_mainline,Eventos não categorizados em nenhuma categoria anterior.,202,0.45%
keystore2,Auditoria e SELinux,keystore2,Serviço de segurança de segunda geração para gerenciamento de chaves criptográficas,201,0.45%
SystemServiceManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,198,0.44%
MediaProvider,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,192,0.43%
apexd,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,184,0.41%
NetBpfLoad,Outros / Serviços Gerais do SO,servicemanager,Carregador de programas e filtros de monitoramento de rede eBPF no kernel,181,0.40%
SystemConfig,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",172,0.38%
ArtService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,170,0.38%
dex2oat64,Outros / Serviços Gerais do SO,"pid:2629 (2.9%), pid:2803 (2.9%), pid:2622 (2.4%)",Eventos não categorizados em nenhuma categoria anterior.,170,0.38%
bluetooth-cf,Outros / Serviços Gerais do SO,bluetooth-cf,Eventos não categorizados em nenhuma categoria anterior.,162,0.36%
libc,Outros / Serviços Gerais do SO,"pid:724 (7.5%), pid:684 (7.5%), pid:856 (7.5%)",Eventos não categorizados em nenhuma categoria anterior.,159,0.36%
DevicePolicyEngine,Outros / Serviços Gerais do SO,system_server,Motor de políticas corporativas e restrições de segurança do dispositivo,159,0.36%
idmap2d,Outros / Serviços Gerais do SO,idmap2d,Eventos não categorizados em nenhuma categoria anterior.,157,0.35%
SST-0,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",154,0.34%
StreamHalAidl,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,150,0.34%
pci 0000,Outros / Serviços Gerais do SO,"servicemanager (98.6%), pid:8086 (1.4%)",Eventos não categorizados em nenhuma categoria anterior.,138,0.31%
TelephonyConfigUpdateInstallReceiver,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,138,0.31%
FileUtils,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,134,0.30%
adbd,Rede e Conexões,adbd,Daemon da ponte de depuração Android (ADB) para acesso e comandos remotos,130,0.29%
WindowManager,Outros / Serviços Gerais do SO,system_server,"Gerenciamento de janelas, superfícies e composição de tela",129,0.29%
BestClock,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,128,0.29%
DNC-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,126,0.28%
SatelliteAccessController,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,126,0.28%
rust_binder,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,125,0.28%
DeviceHalAidl,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,125,0.28%
ConnectivityService,Outros / Serviços Gerais do SO,system_server,Serviço central de conectividade de dados e rotas IP,125,0.28%
CAR.POWER,Subssistema Automotivo (AAOS),com.android.car,Gerenciador de energia e estados de suspensão/hibernação veicular,120,0.27%
WindowManagerShell,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,118,0.26%
,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,117,0.26%
ApplicationLoaders,Outros / Serviços Gerais do SO,"com.android.phone (7.7%), zygote64 (6.8%), android.ext.services (6.8%)",Eventos não categorizados em nenhuma categoria anterior.,117,0.26%
mediaswcodec,Outros / Serviços Gerais do SO,mediaswcodec,Serviço de codecs de áudio e vídeo por software,113,0.25%
AppWidgetServiceImpl,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",113,0.25%
netd,Rede e Conexões,netd,"Daemon de rede responsável por interfaces, rotas, sockets e regras de firewall",112,0.25%
commit_sys_config_file,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,112,0.25%
SystemUIBootTiming,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,112,0.25%
BluetoothSystemServer,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,111,0.25%
UserSystemPackageInstaller,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",110,0.25%
Phone-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,108,0.24%
DefaultPermGrantPolicy,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",106,0.24%
ConstraintLayout,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,104,0.23%
idmap2,Subssistema Automotivo (AAOS),idmap2,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",102,0.23%
CarServiceUtils,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",102,0.23%
DSMGR-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,102,0.23%
HidlServiceManagement,Outros / Serviços Gerais do SO,"carpowerpolicyd (33.7%), keystore2 (12.9%), system_server (7.9%)",Eventos não categorizados em nenhuma categoria anterior.,101,0.23%
CarDisplayCompatScaleProviderUpdatableImpl,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",101,0.23%
TNP,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,99,0.22%
apexd-bootstrap,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,97,0.22%
Telecom,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,97,0.22%
CarrierPrivilegesTracker,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",97,0.22%
SurfaceFlinger,Outros / Serviços Gerais do SO,pid:724,Compositor gráfico central do Android,96,0.21%
RoleUserState,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",96,0.21%
NotificationMgr,Gestão de Usuários e Acesso,com.android.phone,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",95,0.21%
AHAL_Stream,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,94,0.21%
MultiSimSettingController,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,88,0.20%
carpowerpolicyd,Subssistema Automotivo (AAOS),carpowerpolicyd,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",86,0.19%
AudioFlinger,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,86,0.19%
am_proc_start,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,86,0.19%
am_proc_bound,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,86,0.19%
CellBroadcastReceiver,Outros / Serviços Gerais do SO,com.android.cellbroadcastreceiver.module,Eventos não categorizados em nenhuma categoria anterior.,86,0.19%
ShortcutService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,86,0.19%
DPM-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,83,0.19%
AHAL_EffectFactory,Outros / Serviços Gerais do SO,AHAL_EffectFactory,Eventos não categorizados em nenhuma categoria anterior.,82,0.18%
CarrierSvcBindHelper,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",82,0.18%
ReflectedParamUpdater,Outros / Serviços Gerais do SO,"system_server (51.9%), com.android.systemui (25.9%), com.android.providers.media.module (22.2%)",Eventos não categorizados em nenhuma categoria anterior.,81,0.18%
GsmCdmaPhone,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,81,0.18%
SIMRecords,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,81,0.18%
am_uid_running,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,79,0.18%
CompatConfig,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,78,0.17%
TelephonyRegistry,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,78,0.17%
BluetoothAdapterService,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,78,0.17%
CarPackageManagerService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",78,0.17%
dlkm_loader,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,77,0.17%
DropBoxManagerService,Outros / Serviços Gerais do SO,system_server,Serviço de persistência de logs e relatórios de auditoria e falhas,77,0.17%
RotaryController,Outros / Serviços Gerais do SO,com.android.car.rotary,Eventos não categorizados em nenhuma categoria anterior.,77,0.17%
Codec2InfoBuilder,Outros / Serviços Gerais do SO,"pid:2987 (50.0%), pid:3918 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,74,0.17%
TelephonyProvider,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,73,0.16%
am_uid_active,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,72,0.16%
ConnectivitySettingsManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,71,0.16%
GrammaticalInflectionUtils,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",71,0.16%
iptables-restor,Auditoria e SELinux,auditd,Aplicação de regras de firewall de rede via iptables,70,0.16%
Cluster.ViewModel,Subssistema Automotivo (AAOS),android.car.cluster,Painel de instrumentos digital do veículo (Instrument Cluster),70,0.16%
UserSystemPackageInstallerCommitDebug,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",69,0.15%
zygote64,Outros / Serviços Gerais do SO,zygote64,Eventos não categorizados em nenhuma categoria anterior.,67,0.15%
bt_bta_dm,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,67,0.15%
SELinux,Auditoria e SELinux,"servicemanager (73.8%), system_server (9.2%), installd (9.2%)",Carregamento e fiscalização de políticas de controle de acesso mandatório (MAC),65,0.15%
AccessibilityManagerService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",65,0.15%
Binder,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,64,0.14%
SMSVC,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,64,0.14%
SatellitePlmnNetworkInfo,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,64,0.14%
system_server,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,63,0.14%
AdapterServiceConfig,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,62,0.14%
UserManager,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",62,0.14%
BluetoothAdapter,Outros / Serviços Gerais do SO,"com.android.systemui (31.1%), com.android.car (24.6%), com.android.car.settings (18.0%)",Eventos não categorizados em nenhuma categoria anterior.,61,0.14%
bpfloader,Auditoria e SELinux,auditd,"Daemon de auditoria do kernel (auditd), checagem de AVC denials e políticas SELinux.",60,0.13%
ip6tables-resto,Auditoria e SELinux,auditd,"Daemon de auditoria do kernel (auditd), checagem de AVC denials e políticas SELinux.",60,0.13%
MESA,Outros / Serviços Gerais do SO,"pid:724 (8.3%), pid:684 (8.3%), pid:856 (8.3%)",Eventos não categorizados em nenhuma categoria anterior.,60,0.13%
am_wtf,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,60,0.13%
mediaextractor,Outros / Serviços Gerais do SO,mediaextractor,Extração e validação de contêineres de mídia,59,0.13%
SatelliteAppTracker,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,59,0.13%
derive_classpath,Outros / Serviços Gerais do SO,derive_classpath,Eventos não categorizados em nenhuma categoria anterior.,58,0.13%
GFXSTREAM,Outros / Serviços Gerais do SO,"com.android.systemui (19.0%), pid:724 (10.3%), android.car.cluster (10.3%)",Eventos não categorizados em nenhuma categoria anterior.,58,0.13%
ProtoLog,Outros / Serviços Gerais do SO,"com.android.systemui (94.8%), system_server (5.2%)",Eventos não categorizados em nenhuma categoria anterior.,58,0.13%
AconfigPackage,Outros / Serviços Gerais do SO,zygote64,Eventos não categorizados em nenhuma categoria anterior.,57,0.13%
libbinder.PermissionCache,Gestão de Usuários e Acesso,"pid:724 (49.1%), system_server (49.1%), pid:773 (1.8%)","Perfis de usuário (motorista/passageiro), permissões de apps e contas.",57,0.13%
NetworkMonitor/100,Rede e Conexões,com.android.networkstack.process,"Roteamento de rede (netd), DNS (resolv), regras de iptables e conexões de depuração (adbd).",57,0.13%
NetworkTypeController,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,56,0.13%
UserController,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",55,0.12%
CellBroadcastConfigTracker-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,55,0.12%
WifiNetworkFactory,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,55,0.12%
MagnificationConnectionManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,54,0.12%
AS.AudioService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,53,0.12%
UsbDeviceManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,53,0.12%
CarUserService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",53,0.12%
TelephonyRegistryManager,Subssistema Automotivo (AAOS),"com.android.phone (92.5%), system_server (7.5%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",53,0.12%
PackageParsing,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",52,0.12%
UprobeStatsBpfLoad,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,51,0.11%
audioserver,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,50,0.11%
netbpfload,Auditoria e SELinux,auditd,"Daemon de auditoria do kernel (auditd), checagem de AVC denials e políticas SELinux.",48,0.11%
Hal2AidlMapper,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,47,0.10%
APM_AudioPolicyManager,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,47,0.10%
DisplayManagerService,Outros / Serviços Gerais do SO,system_server,Gerenciamento de displays e monitores físicos e virtuais,47,0.10%
PermissionControllerServiceImpl,Gestão de Usuários e Acesso,com.android.permissioncontroller,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",47,0.10%
InputReader,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,46,0.10%
DSRM-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,46,0.10%
LocaleTracker-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,46,0.10%
SatelliteServiceUtils,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,45,0.10%
LauncherProxyService,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,45,0.10%
pm_critical_info,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,44,0.10%
AppBindingService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,44,0.10%
MediaCodecsXmlParser,Outros / Serviços Gerais do SO,"pid:2987 (50.0%), pid:3918 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,44,0.10%
libbinder.Parcel,Outros / Serviços Gerais do SO,auditd,Eventos não categorizados em nenhuma categoria anterior.,44,0.10%
Surface,Outros / Serviços Gerais do SO,"com.android.systemui (30.2%), pid:724 (14.0%), android.car.cluster (14.0%)",Eventos não categorizados em nenhuma categoria anterior.,43,0.10%
CarrierConfigLoader,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",43,0.10%
AudioVolumeChangeHandler,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,43,0.10%
ServiceWatcher,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,42,0.09%
fsck.f2fs,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
DevicePolicyManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
viewroot_draw_event,Outros / Serviços Gerais do SO,"com.android.systemui (61.0%), android.car.cluster (9.8%), com.google.android.car.kitchensink (7.3%)",Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
SmsProvider,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
MessagingReadRestrictionAllowlistMonitor,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
CSST,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,41,0.09%
BpfLoader-rs,Outros / Serviços Gerais do SO,auditd,Eventos não categorizados em nenhuma categoria anterior.,40,0.09%
AppWidgetManager,Outros / Serviços Gerais do SO,"com.android.systemui (60.0%), system_server (40.0%)",Eventos não categorizados em nenhuma categoria anterior.,40,0.09%
DockPackageChangeReceiver,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,40,0.09%
carwatchdogd,Subssistema Automotivo (AAOS),carwatchdogd,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",39,0.09%
libbinder.ServiceManagerCppClient,Gestão de Usuários e Acesso,"pid:724 (33.3%), system_server (33.3%), pid:766 (10.3%)","Perfis de usuário (motorista/passageiro), permissões de apps e contas.",39,0.09%
CCodecBufferChannel,Outros / Serviços Gerais do SO,"system_server (69.2%), com.android.systemui (30.8%)",Eventos não categorizados em nenhuma categoria anterior.,39,0.09%
ADSC,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,39,0.09%
CallNotifier,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,39,0.09%
bt_l2cap,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,39,0.09%
ViewRootImpl,Outros / Serviços Gerais do SO,"com.android.car.carlauncher (63.2%), com.android.systemui (26.3%), com.android.car.settings (5.3%)",Eventos não categorizados em nenhuma categoria anterior.,38,0.08%
BluetoothAdapterProperties,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,38,0.08%
AHAL_EffectConfig,Outros / Serviços Gerais do SO,AHAL_EffectFactory,Eventos não categorizados em nenhuma categoria anterior.,37,0.08%
libbinder.AidlLazyServiceRegistrar,Outros / Serviços Gerais do SO,"servicemanager (50.0%), artd (13.9%), pid:2987 (13.9%)",Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
update_engine,Outros / Serviços Gerais do SO,update_engine,Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
ActivityTaskManager,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",36,0.08%
MmsProvider,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
CloseableReentrantLock,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
am_freeze,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
am_compact,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,36,0.08%
HWUI,Outros / Serviços Gerais do SO,"com.android.systemui (28.6%), android.car.cluster (14.3%), com.google.android.car.kitchensink (11.4%)",Eventos não categorizados em nenhuma categoria anterior.,35,0.08%
DSM-C-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,35,0.08%
